Year,Month,Group,Event,Boardings,Population,Labour_Force,Employment_Rate,Unemployment_Rate,Gas_Price,Mean_Temp,Total_Percip
2010,1,0,0,32593694.97,1937.1,1283,61.2,7.6,110.4,7.8,362.3
2010,2,0,0,29534705.29,1940.1,1278.3,60.9,7.6,109.7,8.1,178.3
2010,3,0,0,35077125.62,1943.2,1275.9,60.5,7.9,113.7,8.4,187.4
2010,4,0,0,31996818.94,1946.6,1275.7,60.5,7.7,114.9,10,162.4
2010,5,0,0,36132317.19,1949.8,1281.1,60.6,7.8,115.6,12.7,120
2010,6,0,0,35546099.65,1953.4,1292.9,61.1,7.8,114.3,15.5,73.8
2010,7,0,0,35940464.17,1956.9,1306,61.6,7.7,118.1,18.6,3.7
2010,8,0,0,35642026.16,1960.5,1321.8,62.2,7.8,118.5,18.8,94.9
2010,9,0,0,37453971.27,1963.6,1320.2,62.1,7.6,116,15.6,261.8
2010,10,0,0,37272776.75,1966.4,1315.4,62,7.3,116.3,11.9,145.1
2010,11,0,0,32593694.97,1968.7,1299.9,61.6,6.6,116.8,6,231.7
2010,12,0,0,29534705.29,1970.8,1297.4,61.6,6.4,119.1,5.9,237.1
2011,1,0,0,35834861.85,1972.7,1291.9,61.1,6.7,121.1,4.8,255.6
2011,2,0,0,32688014.37,1974.7,1296.2,60.5,7.8,122.9,4.007142857,154.8
2011,3,0,0,36912847.67,1976.8,1298.2,60.2,8.3,130.6,6.635294118,102.9
2011,4,0,0,36313966.66,1978.9,1308,60.5,8.5,136.8,10.0932567,115.4333333
2011,5,0,0,36716850.25,1981.1,1317.9,61.3,7.8,139.5,14.04086022,60.16666667
2011,6,0,0,36411965.37,1983.4,1325.4,61.9,7.4,135.8,16.52087302,64.26666667
2011,7,0,0,38263052.13,1986.2,1328.6,62,7.3,133.7,19.30845384,26.73333333
2011,8,0,0,38077943.45,1989.4,1335.1,61.9,7.7,133.2,18.56363636,25.2
2011,9,0,0,33297784.12,1992.7,1343.4,62.3,7.5,136.9,16.44482759,10.8
2011,10,0,0,30172714.13,1995.9,1345.9,62.7,7.1,138.7,10.63548387,58.7
2011,11,0,0,35834861.85,1998.6,1337.7,62.6,6.5,133.5,6.063333333,210.2
2011,12,0,0,32688014.37,2001.2,1325.4,61.8,6.6,126.6,4.864516129,112.7
2012,1,0,0,37637179.96,2003.9,1315.7,61.2,6.8,128.7,4.3,198.6
2012,2,0,0,37026547.25,2006.6,1309.7,60.9,6.7,129.5,5.775862069,162.4
2012,3,0,0,37437336.53,2009.3,1313.5,61,6.7,140.9,6.009677419,175.1
2012,4,0,0,37126468.96,2012.4,1320.9,61.4,6.4,142.6,10.08,130.6
2012,5,0,0,39013879.17,2015.6,1340.2,62.1,6.6,144.4,12.42580645,90.5
2012,6,0,0,38825138.15,2018.9,1352,62.5,6.6,142,14.40666667,127.7
2012,7,0,0,33951178.85,2022.1,1363.3,62.7,7,138.2,18.13870968,46.6
2012,8,0,0,30764786.33,2025.2,1365.2,62.7,7,137.5,19.18064516,8.8
2012,9,0,0,36538041.08,2028.1,1360,62.3,7.1,135,15.57333333,9.8
2012,10,0,0,33329443.73,2030.8,1350.7,61.8,7.1,136.5,10.71935484,280.3
2012,11,0,0,37637179.96,2033.4,1336.1,61.2,6.9,126.2,7.853333333,267.1
2012,12,0,0,37026547.25,2036.1,1325.6,60.8,6.6,122.2,5.240740741,218.2
2013,1,0,0,36614367.29,2038.8,1315.7,60.1,6.9,126,3.668965517,140.5
2013,2,0,0,36310333.39,2041.5,1311.2,59.9,6.7,137.6,5.685714286,142
2013,3,0,0,38156253.45,2044.3,1319.6,60,7.1,141,7.622580645,186.9
2013,4,0,0,37971661.45,2047.1,1332,60.6,6.8,136.9,9.906666667,138.8
2013,5,0,0,33204844.35,2050.3,1340.1,61,6.7,145.7,13.87419355,88
2013,6,0,0,30088496.96,2053.7,1341.7,61.2,6.4,143.7,16.13928571,57.7
2013,7,0,0,35734840.67,2057.2,1345.9,61.1,6.5,147.1,19.49310345,0.2
2013,8,0,0,32596776.57,2060.5,1353.8,61.1,7,144.9,19.54193548,73.4
2013,9,0,0,36809817.65,2063.8,1352.1,60.9,7,140.3,16.2,158
2013,10,0,0,36212608.22,2066.9,1341.2,60.6,6.6,132.4,10.11935484,47.2
